user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,lat,lng
45522546,1102587914188480512,2019-03-04T15:13:38Z,vsilberstein,"@KaiserGDL Muchas gracias !!! Y vaya que las necesito , me recupero de un cuadro de influenza , ahí la llevo pero bienvenidas las buenas vibras ! Abrazo y excelente semana 🌟🌟",Twitter for iPhone,163,1102521417927720960,141391111,KaiserGDL,FALSE,FALSE,0,0,,,,,,,,,,,,,,141391111,KaiserGDL,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/e86e154b91acd5a3.json,Cuajimalpa de Morelos,"Cuajimalpa de Morelos, Distrito Federal",city,Mexico,MX,|,|,-99.364536|-99.2466245|-99.2466245|-99.364536|19.232313|19.232313|19.405081|19.405081,https://twitter.com/vsilberstein/status/1102587914188480512,Vivian Silberstein,"México , DF","Conductora de TV #PrideNews @AcustikNoticias Dir Rel Inst @MuseoMyT consejera @FICJM , distribuidora @Depilflax en MX",,FALSE,11658,1714,116,17279,12303,2009-06-08T07:52:14Z,FALSE,,,en,https://pbs.twimg.com/profile_banners/45522546/1372656661,http://abs.twimg.com/images/themes/theme4/bg.gif,http://pbs.twimg.com/profile_images/1040060137086562304/FvWnpZT1_normal.jpg,19.318697,-99.30558025
835938629885243392,1102522805449646080,2019-03-04T10:54:55Z,firecaptandi17,I have a terrible head cold not to for sure if it’s not influenza a and b !!! Can’t sleep cause I can’t breathe,Twitter for iPhone,111,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/2526edd24c06e60c.json,Missouri,"Missouri, USA",admin,United States,US,|,|,-95.774704|-89.098843|-89.098843|-95.774704|35.995476|35.995476|40.613641|40.613641,https://twitter.com/firecaptandi17/status/1102522805449646080,❄️❄️❄️shan❄️❄️❄️,United States,I'm a fire 🔥 medical kind of person,,FALSE,172,1981,1,1005,2231,2017-02-26T19:44:35Z,FALSE,,,en,https://pbs.twimg.com/profile_banners/835938629885243392/1500033385,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1039219323599028224/PmfiFWRB_normal.jpg,38.3045585,-92.4367735
4871147754,1102445649704837120,2019-03-04T05:48:19Z,Bleus_DaisyDoo,"My momma was really sick &amp; had to go to the hospital. #influenza and #pneumonia are no joke! She’s finally home &amp; I’m taking my responsibility to cuddle with her very seriously. The bed, the couch, you name it, I’m your #cuddledog mom!  She says #dogcuddlesarethebestmedicine https://t.co/GESGbljHcF",Twitter for iPhone,283,,,,FALSE,FALSE,11,1,influenza|pneumonia|cuddledog|dogcuddlesarethebestmedicine,,,,,http://pbs.twimg.com/media/D0ysd3zVYAEs40D.jpg,https://t.co/GESGbljHcF,https://twitter.com/Bleus_DaisyDoo/status/1102445649704837120/photo/1,photo,http://pbs.twimg.com/media/D0ysd3zVYAEs40D.jpg,https://t.co/GESGbljHcF,https://twitter.com/Bleus_DaisyDoo/status/1102445649704837120/photo/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/36148a9a49d3da69.json,Thornton,"Thornton, CO",city,United States,US,|,|,-105.015543|-104.884147|-104.884147|-105.015543|39.838926|39.838926|39.972023|39.972023,https://twitter.com/Bleus_DaisyDoo/status/1102445649704837120,Miss Daisy Doo,"Denver, CO","I am a Blue Heeler-Border Collie mix that is just figuring this life out. I'm shy, but I warm up to people and fur-friends quickly. @MooManBleu is my hero!",,FALSE,3307,3254,7,374,673,2016-02-07T01:26:58Z,FALSE,,,en,https://pbs.twimg.com/profile_banners/4871147754/1463444083,,http://pbs.twimg.com/profile_images/696144262186950656/EaNLqACj_normal.jpg,39.9054745,-104.949845
157813580,1102411169107709957,2019-03-04T03:31:19Z,mcgaula,@nicolefreed Me too. It worries me that for some reason he can’t walk. I was asking my mom if they did all these tests and she was like I’m not sure. Says she thinks gma doesn’t like being alone. I know he has influenza type A and that has poor outcomes.,Twitter for iPhone,241,1102410681641562113,23167749,nicolefreed,FALSE,FALSE,0,0,,,,,,,,,,,,,,23167749,nicolefreed,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/aeca883f15e2aa85.json,East Lansing,"East Lansing, MI",city,United States,US,|,|,-84.515906|-84.447347|-84.447347|-84.515906|42.704505|42.704505|42.788935|42.788935,https://twitter.com/mcgaula/status/1102411169107709957,Amanda McGauley,East Lansing MI/Chicago IL,"RN, BSN, ONC. @FerrisState alum; #ortho and MDOC nurse. I also chase freight trains in my pajamas",https://t.co/N14TFaJAE1,FALSE,1101,2137,81,54639,2661,2010-06-21T00:01:45Z,FALSE,https://t.co/N14TFaJAE1,http://facebook.com/amandamcgauley,en,https://pbs.twimg.com/profile_banners/157813580/1525879846,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/458669087845924864/IoPF1JsP_normal.jpeg,42.74672,-84.4816265
157813580,1102339928275460098,2019-03-03T22:48:14Z,mcgaula,"Please pray for my grandpa. He is currently in the hospital with influenza A and unknown etiology as to why he can’t walk. I’m sitting up here at home asking mom if they did this, this and this and did they rule out this? I guess I feel helpless that I can’t do anything.",Twitter for iPhone,271,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/aeca883f15e2aa85.json,East Lansing,"East Lansing, MI",city,United States,US,|,|,-84.515906|-84.447347|-84.447347|-84.515906|42.704505|42.704505|42.788935|42.788935,https://twitter.com/mcgaula/status/1102339928275460098,Amanda McGauley,East Lansing MI/Chicago IL,"RN, BSN, ONC. @FerrisState alum; #ortho and MDOC nurse. I also chase freight trains in my pajamas",https://t.co/N14TFaJAE1,FALSE,1101,2137,81,54639,2661,2010-06-21T00:01:45Z,FALSE,https://t.co/N14TFaJAE1,http://facebook.com/amandamcgauley,en,https://pbs.twimg.com/profile_banners/157813580/1525879846,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/458669087845924864/IoPF1JsP_normal.jpeg,42.74672,-84.4816265
24470197,1102407391352627205,2019-03-04T03:16:18Z,BoogF,"I promise you I diagnosed with influenza on Thursday. @ New Orleans, Louisiana https://t.co/axnMbbt6PY",Instagram,102,,,,FALSE,FALSE,0,0,,,instagram.com/p/Bukis9AHU1C/…,https://t.co/axnMbbt6PY,https://www.instagram.com/p/Bukis9AHU1C/?utm_source=ig_twitter_share&igshid=1w09be9gm1dru,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/dd3b100831dd1763.json,New Orleans,"New Orleans, LA",city,United States,US,29.948479|-90.070864,-90.070864|29.948479,-90.137908|-89.884108|-89.884108|-90.137908|29.889574|29.889574|30.075628|30.075628,https://twitter.com/BoogF/status/1102407391352627205,Boog F. Merrill,Merrill Island,Steady rising from the ashes like a phoenix. Underrated good dude trying to be a GREAT father. G.O.M.A.B.,http://t.co/xOts7YTiGA,FALSE,689,481,19,45328,179,2009-03-15T02:07:50Z,FALSE,http://t.co/xOts7YTiGA,http://www.youtube.com/boogf,en,https://pbs.twimg.com/profile_banners/24470197/1436682204,http://abs.twimg.com/images/themes/theme9/bg.gif,http://pbs.twimg.com/profile_images/707568568460648448/0Pl12vUD_normal.jpg,29.948479,-90.070864
331614268,1102390714099552262,2019-03-04T02:10:02Z,cleme002,@SalliePermar @ShotAtLife @TheDHVI And influenza suppreses myeloperoxidase activity,Twitter for iPhone,48,1102195613565894656,3070120834,SalliePermar,FALSE,FALSE,1,0,,,,,,,,,,,,,,3070120834|357647590|959516053608034304,SalliePermar|ShotAtLife|TheDHVI,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json,North Carolina,"North Carolina, USA",admin,United States,US,|,|,-84.3219475|-75.40012|-75.40012|-84.3219475|33.752879|33.752879|36.588118|36.588118,https://twitter.com/cleme002/status/1102390714099552262,Dennis Clements,DGHI@Duke,pediatrics and global health,,FALSE,238,96,6,705,143,2011-07-08T13:05:15Z,FALSE,,,en,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1573006383/image_normal.jpg,35.1704985,-79.86103375
872549931474706435,1102362114654724096,2019-03-04T00:16:23Z,CornbreadNibba,tengo la influenza,Twitter for iPhone,18,,,,FALSE,FALSE,10,0,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Houston,"Houston, TX",city,United States,US,|,|,-95.823268|-95.069705|-95.069705|-95.823268|29.522325|29.522325|30.1546646|30.1546646,https://twitter.com/CornbreadNibba/status/1102362114654724096,Chinese wok,"Aldine, TX","",,FALSE,78,86,0,649,302,2017-06-07T20:24:49Z,FALSE,,,en,https://pbs.twimg.com/profile_banners/872549931474706435/1546808800,,http://pbs.twimg.com/profile_images/1082020644831805440/sKvC2R5o_normal.jpg,29.8384948,-95.4464865
961400836021673984,1102324221806604289,2019-03-03T21:45:49Z,LarrySa16379655,@AlexChoirDrama  no choir fest for Evan . Out with Type A influenza.,Twitter for iPhone,68,,2789686922,AlexChoirDrama,FALSE,FALSE,0,0,,,,,,,,,,,,,,2789686922,AlexChoirDrama,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/117105d9ae20adfb.json,Alexandria,"Alexandria, IN",city,United States,US,|,|,-85.703901|-85.657881|-85.657881|-85.703901|40.21946|40.21946|40.28049|40.28049,https://twitter.com/LarrySa16379655/status/1102324221806604289,Larry Savage,United States Minor Outlying Islands,"",,FALSE,51,456,0,413,242,2018-02-08T00:46:36Z,FALSE,,,en,https://pbs.twimg.com/profile_banners/961400836021673984/1518916288,,http://pbs.twimg.com/profile_images/1086436076628201474/J7CDvSrN_normal.jpg,40.249975,-85.680891
18204778,1102280905765220352,2019-03-03T18:53:41Z,MichelleRafter,The influenza A strain going around is serious business. It landed my 82 y o dad in the hospital despite him having gotten a flu shot. So many other people around here have gotten it too. Practice safe hygiene people! #flu,Twitter for Android,222,,,,FALSE,FALSE,3,1,flu,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json,Portland,"Portland, OR",city,United States,US,|,|,-122.7900653|-122.471751|-122.471751|-122.7900653|45.421863|45.421863|45.6509405|45.6509405,https://twitter.com/MichelleRafter/status/1102280905765220352,MichelleRafter,"Portland, OR","I write about work, employment, workplace tech and transportation; ghostwrite about biz and management; and tweet about writing, books, freelance and Portland.",https://t.co/FqKfCMckSB,FALSE,8220,3625,810,30700,12829,2008-12-18T00:51:47Z,FALSE,https://t.co/FqKfCMckSB,http://www.michellerafter.com,en,https://pbs.twimg.com/profile_banners/18204778/1550439771,http://abs.twimg.com/images/themes/theme12/bg.gif,http://pbs.twimg.com/profile_images/947855335716356098/thITeCeM_normal.jpg,45.53640175,-122.63090815
